Ozone layer,Solar.R,Wind speed (miles/hour),Temp. in F,Date?
41,190,7.4,67,5/1/13
36,118,8,72,5/2/13
12,149,12.6,74,5/3/13
18,313,11.5,62,5/4/13
NA,NA,14.3,56,5/5/13
28,NA,14.9,66,5/6/13
23,299,8.6,65,5/7/13
19,99,13.8,59,5/8/13
8,19,20.1,61,5/9/13
NA,194,8.6,69,5/10/13
7,NA,6.9,74,5/11/13
16,256,9.7,69,5/12/13
11,290,9.2,66,5/13/13
14,274,10.9,68,5/14/13
18,65,13.2,58,5/15/13
14,334,11.5,64,5/16/13
34,307,12,66,5/17/13
6,78,18.4,57,5/18/13
30,322,11.5,68,5/19/13
11,44,9.7,62,5/20/13
1,8,9.7,59,5/21/13
11,320,16.6,73,5/22/13
4,25,9.7,61,5/23/13
32,92,12,61,5/24/13
NA,66,16.6,57,5/25/13
NA,266,14.9,58,5/26/13
NA,NA,8,57,5/27/13
23,13,12,67,5/28/13
45,252,14.9,81,5/29/13
115,223,5.7,79,5/30/13
NA,286,8.6,78,6/1/13
NA,287,9.7,74,6/2/13
NA,242,16.1,67,6/3/13
NA,186,9.2,84,6/4/13
NA,220,8.6,85,6/5/13
NA,264,14.3,79,6/6/13
29,127,9.7,82,6/7/13
NA,273,6.9,87,6/8/13
71,291,13.8,90,6/9/13
39,323,11.5,87,6/10/13
NA,259,10.9,93,6/11/13
NA,250,9.2,92,6/12/13
23,148,8,82,6/13/13
NA,332,13.8,80,6/14/13
NA,322,11.5,79,6/15/13
21,191,14.9,77,6/16/13
37,284,20.7,72,6/17/13
20,37,9.2,65,6/18/13
12,120,11.5,73,6/19/13
13,137,10.3,76,6/20/13
NA,150,6.3,77,6/21/13
NA,59,1.7,76,6/22/13
NA,91,4.6,76,6/23/13
NA,250,6.3,76,6/24/13
NA,135,8,75,6/25/13
NA,127,8,78,6/26/13
NA,47,10.3,73,6/27/13
NA,98,11.5,80,6/28/13
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
NA,31,14.9,77,6/29/13
NA,138,8,83,6/30/13
135,269,4.1,84,7/1/13
49,248,9.2,85,7/2/13
32,236,9.2,81,7/3/13
NA,101,10.9,84,7/4/13
64,175,4.6,83,7/5/13
40,314,10.9,83,7/6/13
77,276,5.1,88,7/7/13
97,267,6.3,92,7/8/13
97,272,5.7,92,7/9/13
85,175,7.4,89,7/10/13
NA,139,8.6,82,7/11/13
10,264,14.3,73,7/12/13
27,175,14.9,81,7/13/13
NA,291,14.9,91,7/14/13
7,48,14.3,80,7/15/13
48,260,6.9,81,7/16/13
35,274,10.3,82,7/17/13
61,285,6.3,84,7/18/13
79,187,5.1,87,7/19/13
63,220,11.5,85,7/20/13
16,7,6.9,74,7/21/13
NA,258,9.7,81,7/22/13
NA,295,11.5,82,7/23/13
80,294,8.6,86,7/24/13
108,223,8,85,7/25/13
20,81,8.6,82,7/26/13
52,82,12,86,7/27/13
82,213,7.4,88,7/28/13
50,275,7.4,86,7/29/13
64,253,7.4,83,7/30/13
39,83,6.9,81,8/1/13
9,24,13.8,81,8/2/13
16,77,7.4,82,8/3/13
78,NA,6.9,86,8/4/13
35,NA,7.4,85,8/5/13
66,NA,4.6,87,8/6/13
122,255,4,89,8/7/13
89,229,10.3,90,8/8/13
110,207,8,90,8/9/13
NA,222,8.6,92,8/10/13
NA,137,11.5,86,8/11/13
44,192,11.5,86,8/12/13
28,273,11.5,82,8/13/13
65,157,9.7,80,8/14/13
NA,64,11.5,79,8/15/13
22,71,10.3,77,8/16/13
59,51,6.3,79,8/17/13
23,115,7.4,76,8/18/13
31,244,10.9,78,8/19/13
44,190,10.3,78,8/20/13
21,259,15.5,77,8/21/13
9,36,14.3,72,8/22/13
NA,255,12.6,75,8/23/13
45,212,9.7,79,8/24/13
168,238,3.4,81,8/25/13
73,215,8,86,8/26/13
NA,153,5.7,88,8/27/13
76,203,9.7,97,8/28/13
118,225,2.3,94,8/29/13
84,237,6.3,96,8/30/13
96,167,6.9,91,9/1/13
78,197,5.1,92,9/2/13
73,183,2.8,93,9/3/13
91,189,4.6,93,9/4/13
47,95,7.4,87,9/5/13
32,92,15.5,84,9/6/13
20,252,10.9,80,9/7/13
23,220,10.3,78,9/8/13
21,230,10.9,75,9/9/13
24,259,9.7,73,9/10/13
44,236,14.9,81,9/11/13
21,259,15.5,76,9/12/13
28,238,6.3,77,9/13/13
9,24,10.9,71,9/14/13
13,112,11.5,71,9/15/13
46,237,6.9,78,9/16/13
18,224,13.8,67,9/17/13
13,27,10.3,76,9/18/13
24,238,10.3,68,9/19/13
16,201,8,82,9/20/13
13,238,12.6,64,9/21/13
23,14,9.2,71,9/22/13
36,139,10.3,81,9/23/13
7,49,10.3,69,9/24/13
14,20,16.6,63,9/25/13
30,193,6.9,70,9/26/13
NA,145,13.2,77,9/27/13
14,191,14.3,75,9/28/13
18,131,8,76,9/29/13
20,223,11.5,68,9/30/13
64,220,10.9,87,5/1/14
12,197,5.1,83,5/2/14
23,238,6.9,84,5/4/14
1,307,4.6,76,5/6/14
59,27,11.5,84,5/7/14
11,191,7.4,59,5/9/14
NA,273,8,66,5/11/14
11,186,6.3,67,5/12/14
84,149,10.3,65,5/13/14
8,314,11.5,92,5/14/14
32,212,6.9,67,5/15/14
9,260,14.9,79,5/16/14
20,59,7.4,92,5/17/14
NA,187,13.8,86,5/18/14
44,194,14.9,71,5/19/14
13,NA,15.5,73,5/21/14
4,242,6.9,91,5/23/14
65,322,7.4,61,5/26/14
61,25,6.9,79,5/28/14
64,83,8.6,86,5/30/14
115,254,9.7,85,6/1/14
110,266,8.6,87,6/2/14
168,238,8.6,74,6/3/14
7,220,11.5,97,6/4/14
48,229,13.8,96,6/5/14
NA,252,14.3,72,6/7/14
44,295,18.4,88,6/8/14
NA,92,14.9,74,6/9/14
18,37,9.2,80,6/10/14
78,332,6.3,67,6/11/14
59,323,5.1,87,6/12/14
NA,118,8,86,6/14/14
85,284,7.4,68,6/19/14
28,51,6.3,81,6/20/14
66,120,9.7,76,6/21/14
63,269,6.3,93,6/22/14
14,287,3.4,86,6/23/14
22,47,10.3,77,6/24/14
80,NA,9.7,77,6/30/14
NA,190,7.4,88,7/3/14
18,NA,4.1,76,7/4/14
NA,276,12,80,7/6/14
NA,236,2.3,76,7/9/14
NA,157,15.5,71,7/10/14
97,274,10.9,82,7/12/14
44,148,8,83,7/13/14
79,250,7.4,56,7/14/14
89,250,6.3,64,7/16/14
13,183,12.6,78,7/18/14
NA,274,9.7,81,7/20/14
135,NA,9.7,67,7/21/14
118,223,6.9,82,7/22/14
20,299,6.9,78,7/24/14
NA,14,7.4,76,7/25/14
23,137,12,87,7/26/14
85,285,11.5,57,7/27/14
36,259,5.7,66,7/28/14
108,127,10.3,94,7/29/14
47,127,10.9,82,7/30/14
16,253,7.4,92,8/1/14
19,64,14.9,83,8/5/14
7,207,11.5,59,8/6/14
6,238,6.3,77,8/7/14
82,7,9.2,79,8/8/14
76,248,10.9,71,8/10/14
21,237,11.5,85,8/11/14
73,77,10.3,90,8/12/14
NA,201,20.7,78,8/13/14
10,81,8.6,85,8/15/14
NA,244,9.2,75,8/17/14
35,44,14.9,89,8/18/14
50,13,10.9,81,8/19/14
32,223,9.2,78,8/20/14
73,NA,14.9,61,8/21/14
NA,279,9.7,79,8/22/14
18,92,4,80,8/23/14
97,138,8.6,74,8/27/14
45,139,7.4,76,8/28/14
34,191,9.2,82,8/29/14
NA,95,10.3,93,8/30/14
13,193,14.3,82,9/2/14
NA,275,10.3,90,9/3/14
NA,215,11.5,74,9/5/14
NA,222,8,89,9/6/14
49,71,13.8,65,9/7/14
NA,115,12,77,9/8/14
21,188,10.9,72,9/13/14
21,24,16.6,75,9/14/14
NA,259,10.9,78,9/16/14
14,267,4.6,82,9/17/14
NA,101,5.1,91,9/18/14
39,252,10.3,64,9/19/14
13,322,12,86,9/22/14
36,175,8,76,9/23/14
40,256,13.2,70,9/24/14
NA,230,9.2,79,9/25/14
39,264,10.3,86,9/26/14
41,36,8,69,9/28/14
NA,291,5.7,84,9/29/14